id,teams,jersey
game_1,dallas @ nashville,pavelski away
game_2,nashville @ dallas,seguin home
game_3,winnipeg @ dallas,benn home blackout
game_4,dallas @ toronto,heiskanen away rr
game_5,dallas @ montreal,no jersey
game_6,dallas @ ottawa,pavelski away
game_7,dallas @ boston,no jersey
game_8,washington @ dallas,seguin home
game_9_,nyr @ dallas,no jersey
game_10,la @ dallas,no jersey
game_11,dallas @ arizona,benn home blackout
game_12,dallas @ edmonton,no jersey
game_13,dallas @ winnipeg,no jersey
game_14,san jose @ dallas,no jersey
game_15,dallas @ philly,no jersey
game_16,dallas @ tampa,heiskanen away rr
game_17,dallas @ florida,robertson home rr
game_18,nyi @ dallas,robertson home rr
game_19,colorado @ dallas,robertson home rr
game_20,chicago @ dallas,no jersey
game_21m,winnipeg @ dallas,no jersey
game_22,dallas @ colorado,robertson home rr
game_23,dallas @ st louis,no jersey
game_24,anaheim @ dallas,pavelski away
game_25,minnesota @ dallas,no jersey
game_26,toronto @ dallas,no jersey
game_27,ottawa @ dallas,no jersey
game_28,detroit @ dallas,pavelski away
game_29,dallas @ pittsburgh,no jersey
game_30,dallas @ new jersey,no jersey
game_31,dallas @ washington,seguin home
game_32,dallas @ carolina,heiskanen away rr
game_33,dallas @ columbus,seguin home
game_34,edmonton @ dallas,seguin home
game_35,montreal @ dallas,no jersey
game_36,dallas @ nashville,no jersey
game_37,dallas @ minnesota,seguin home
game_38,san jose @ dallas,robertson home rr
game_39,dallas @ los angeles,pavelski away
game_40,dallas @ anaheim,no jersey
game_41,florida @ dallas,no jersey
game_42,dallas @ nyi,benn home blackout
game_43,dallas @ nyr,heiskanen away rr
game_44,calgary @ dallas,no jersey
game_45,dallas @ vegas,no jersey
game_46,dallas @ san jose,no jersey
game_47,dallas @ la,no jersey
game_48,arizona @ dallas,pavelski away
game_49,buffalo @ dallas,no jersey
game_50,carolina @ dallas,benn home blackout
game_51,new jersey @ dallas,no jersey
game_52,anaheim @ dallas,robertson home rr
game_53,wild @ dallas,no jersey
game_54,tampa @ dallas,robertson home rr
game_55,boston @ dallas,no jersey
game_56,dallas @ minnesota,no jersey
game_57,columbus @ dallas,no jersey
game_58,chicago @ dallas,benn home blackout
game_59,dallas @ vegas,pavelski away
game_60,vancouver @ allas,pavelski away
game_61,arizona @ dallas,no jersey
game_62,dallas @ chicago,no jersey
game_63,colorado @ dallas,no jersey
game_64,calgary @ dallas,robertson home rr
game_65,dallas @ buffalo,robertson home rr
game_66,dallas @ seattle,robertson home rr
game_67,dallas @ seattle,no jersey
game_68,dallas @ vancouver,no jersey
game_69,dallas @ edmonton,no jersey
game_70,dallas @ calgary,robertson home rr
game_71,seattle @ dallas,no jersey
game_72,pittsburgh @ dallas,robertson home rr
game_73,vancouver @ dallas,no jersey
game_74,dallas @ chicago,no jersey
game_75,dallas @ arizona ,no jersey
game_76,dallas @ colorado,no jersey
game_77,nashville @ dallas,seguin home
game_78,philadelphia @ dallas,no jersey
game_79,vegas @ dallas,benn home blackout
game_80,dallas @ detroit,robertson home rr
game_81,dallas @ st louis,no jersey
game_82,st louis @ dallas,pavelski away
